Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
29/01/2018 16:00:00,111.54,29/01/2018 16:00:00,67.58,29/01/2018 16:00:00,57.02,29/01/2018 16:00:00,177.77,29/01/2018 16:00:00,47.7
30/01/2018 16:00:00,110.11,30/01/2018 16:00:00,67.33,30/01/2018 16:00:00,57.19,30/01/2018 16:00:00,172.48,30/01/2018 16:00:00,47.41
31/01/2018 16:00:00,108.67,31/01/2018 16:00:00,68.22,31/01/2018 16:00:00,56.81,31/01/2018 16:00:00,171.14,31/01/2018 16:00:00,47.59
01/02/2018 16:00:00,110.49,01/02/2018 16:00:00,67.65,01/02/2018 16:00:00,56,01/02/2018 16:00:00,171.9,01/02/2018 16:00:00,47.45
02/02/2018 16:00:00,108.7,02/02/2018 16:00:00,67.22,02/02/2018 16:00:00,55.77,02/02/2018 16:00:00,169.38,02/02/2018 16:00:00,46.73
05/02/2018 16:00:00,104.7,05/02/2018 16:00:00,64.39,05/02/2018 16:00:00,54.69,05/02/2018 16:00:00,163.85,05/02/2018 16:00:00,44.89
06/02/2018 16:00:00,106.17,06/02/2018 16:00:00,65.22,06/02/2018 16:00:00,55.61,06/02/2018 16:00:00,165.18,06/02/2018 16:00:00,44.67
07/02/2018 16:00:00,104.76,07/02/2018 16:00:00,65.63,07/02/2018 16:00:00,54.46,07/02/2018 16:00:00,165.71,07/02/2018 16:00:00,44.56
08/02/2018 16:00:00,101.35,08/02/2018 16:00:00,62.49,08/02/2018 16:00:00,53.77,08/02/2018 16:00:00,158.97,08/02/2018 16:00:00,43.1
09/02/2018 16:00:00,103.09,09/02/2018 16:00:00,65.49,09/02/2018 16:00:00,54.58,09/02/2018 16:00:00,160.8,09/02/2018 16:00:00,43.13
12/02/2018 16:00:00,103.39,12/02/2018 16:00:00,65.98,12/02/2018 16:00:00,55.38,12/02/2018 16:00:00,163.9,12/02/2018 16:00:00,43.97
13/02/2018 16:00:00,104.12,13/02/2018 16:00:00,65.87,13/02/2018 16:00:00,55.67,13/02/2018 16:00:00,162.4,13/02/2018 16:00:00,44.19
14/02/2018 16:00:00,104.6,14/02/2018 16:00:00,67.96,14/02/2018 16:00:00,55.99,14/02/2018 16:00:00,159.99,14/02/2018 16:00:00,44.1
15/02/2018 16:00:00,105.18,15/02/2018 16:00:00,68.29,15/02/2018 16:00:00,56.58,15/02/2018 16:00:00,160.78,15/02/2018 16:00:00,44.78
16/02/2018 16:00:00,106.53,16/02/2018 16:00:00,68.3,16/02/2018 16:00:00,56.48,16/02/2018 16:00:00,157.79,16/02/2018 16:00:00,44.98
20/02/2018 16:00:00,105.98,20/02/2018 16:00:00,67.49,20/02/2018 16:00:00,55.97,20/02/2018 16:00:00,157.16,20/02/2018 16:00:00,43.99
21/02/2018 16:00:00,105.05,21/02/2018 16:00:00,67.05,21/02/2018 16:00:00,56.1,21/02/2018 16:00:00,158.64,21/02/2018 16:00:00,43.34
22/02/2018 16:00:00,105.24,22/02/2018 16:00:00,67.13,22/02/2018 16:00:00,55.4,22/02/2018 16:00:00,160.66,22/02/2018 16:00:00,43.52
23/02/2018 16:00:00,107.25,23/02/2018 16:00:00,68.16,23/02/2018 16:00:00,56.14,23/02/2018 16:00:00,163.06,23/02/2018 16:00:00,44.04
26/02/2018 16:00:00,109.81,26/02/2018 16:00:00,69.65,26/02/2018 16:00:00,57.17,26/02/2018 16:00:00,163.58,26/02/2018 16:00:00,44.03
27/02/2018 16:00:00,104.87,27/02/2018 16:00:00,68.03,27/02/2018 16:00:00,56.57,27/02/2018 16:00:00,160.66,27/02/2018 16:00:00,43.62
28/02/2018 16:00:00,103.16,28/02/2018 16:00:00,67.03,28/02/2018 16:00:00,57.1,28/02/2018 16:00:00,157.74,28/02/2018 16:00:00,43.22
01/03/2018 16:00:00,102.57,01/03/2018 16:00:00,66.32,01/03/2018 16:00:00,56.17,01/03/2018 16:00:00,155.7,01/03/2018 16:00:00,43.43
02/03/2018 16:00:00,102.99,02/03/2018 16:00:00,65.89,02/03/2018 16:00:00,56.93,02/03/2018 16:00:00,148.27,02/03/2018 16:00:00,43.72
05/03/2018 16:00:00,103.41,05/03/2018 16:00:00,65.05,05/03/2018 16:00:00,56.99,05/03/2018 16:00:00,151.03,05/03/2018 16:00:00,43.89
06/03/2018 16:00:00,104.94,06/03/2018 16:00:00,65.24,06/03/2018 16:00:00,57.03,06/03/2018 16:00:00,151.2,06/03/2018 16:00:00,43.93
07/03/2018 16:00:00,103.59,07/03/2018 16:00:00,64.17,07/03/2018 16:00:00,57.03,07/03/2018 16:00:00,152.38,07/03/2018 16:00:00,43.82
08/03/2018 16:00:00,104.03,08/03/2018 16:00:00,65.11,08/03/2018 16:00:00,57.47,08/03/2018 16:00:00,154.44,08/03/2018 16:00:00,44.45
09/03/2018 16:00:00,104.73,09/03/2018 16:00:00,66.3,09/03/2018 16:00:00,58.46,09/03/2018 16:00:00,157.24,09/03/2018 16:00:00,44.82
12/03/2018 16:00:00,105.17,12/03/2018 16:00:00,66.82,12/03/2018 16:00:00,59.4,12/03/2018 16:00:00,157.74,12/03/2018 16:00:00,44.53
13/03/2018 16:00:00,103.73,13/03/2018 16:00:00,66.17,13/03/2018 16:00:00,59.05,13/03/2018 16:00:00,158.22,13/03/2018 16:00:00,44.57
14/03/2018 16:00:00,103.9,14/03/2018 16:00:00,66.2,14/03/2018 16:00:00,58.83,14/03/2018 16:00:00,158.24,14/03/2018 16:00:00,43.78
15/03/2018 16:00:00,103.24,15/03/2018 16:00:00,66.39,15/03/2018 16:00:00,59.37,15/03/2018 16:00:00,161.61,15/03/2018 16:00:00,43.67
16/03/2018 16:00:00,102.87,16/03/2018 16:00:00,65.91,16/03/2018 16:00:00,59,16/03/2018 16:00:00,162.36,16/03/2018 16:00:00,43.46
19/03/2018 16:00:00,101.48,19/03/2018 16:00:00,65.71,19/03/2018 16:00:00,58.3,19/03/2018 16:00:00,159.01,19/03/2018 16:00:00,43.26
20/03/2018 16:00:00,101.35,20/03/2018 16:00:00,66.8,20/03/2018 16:00:00,58.66,20/03/2018 16:00:00,159.38,20/03/2018 16:00:00,43.16
21/03/2018 16:00:00,101.82,21/03/2018 16:00:00,66.35,21/03/2018 16:00:00,58.47,21/03/2018 16:00:00,158.66,21/03/2018 16:00:00,43
22/03/2018 16:00:00,100.6,22/03/2018 16:00:00,64.42,22/03/2018 16:00:00,57.77,22/03/2018 16:00:00,157.04,22/03/2018 16:00:00,42.76
23/03/2018 16:00:00,98.54,23/03/2018 16:00:00,64.63,23/03/2018 16:00:00,56.31,23/03/2018 16:00:00,154.98,23/03/2018 16:00:00,42.33
26/03/2018 16:00:00,100.65,26/03/2018 16:00:00,65.9,26/03/2018 16:00:00,57.8,26/03/2018 16:00:00,158.01,26/03/2018 16:00:00,42.69
27/03/2018 16:00:00,99.36,27/03/2018 16:00:00,66.17,27/03/2018 16:00:00,57.46,27/03/2018 16:00:00,157.48,27/03/2018 16:00:00,42.89
28/03/2018 16:00:00,98.54,28/03/2018 16:00:00,65.44,28/03/2018 16:00:00,57.9,28/03/2018 16:00:00,158.41,28/03/2018 16:00:00,43.32
29/03/2018 16:00:00,100.44,29/03/2018 16:00:00,66.44,29/03/2018 16:00:00,57.89,29/03/2018 16:00:00,156.38,29/03/2018 16:00:00,43.43
02/04/2018 16:00:00,98.66,02/04/2018 16:00:00,64.12,02/04/2018 16:00:00,56.24,02/04/2018 16:00:00,157.72,02/04/2018 16:00:00,42.67
03/04/2018 16:00:00,99.42,03/04/2018 16:00:00,66.7,03/04/2018 16:00:00,58,03/04/2018 16:00:00,160.4,03/04/2018 16:00:00,43.38
04/04/2018 16:00:00,100.95,04/04/2018 16:00:00,68.42,04/04/2018 16:00:00,58.83,04/04/2018 16:00:00,161.73,04/04/2018 16:00:00,44.24
05/04/2018 16:00:00,102.11,05/04/2018 16:00:00,69.59,05/04/2018 16:00:00,59.14,05/04/2018 16:00:00,163.95,05/04/2018 16:00:00,44.4
06/04/2018 16:00:00,100.35,06/04/2018 16:00:00,67.55,06/04/2018 16:00:00,58.34,06/04/2018 16:00:00,161.25,06/04/2018 16:00:00,43.92
09/04/2018 16:00:00,99.7,09/04/2018 16:00:00,67.18,09/04/2018 16:00:00,58.7,09/04/2018 16:00:00,161.23,09/04/2018 16:00:00,43.83
10/04/2018 16:00:00,101.37,10/04/2018 16:00:00,67,10/04/2018 16:00:00,59.41,10/04/2018 16:00:00,162.77,10/04/2018 16:00:00,43.99
11/04/2018 16:00:00,100.8,11/04/2018 16:00:00,66.83,11/04/2018 16:00:00,59.42,11/04/2018 16:00:00,163.34,11/04/2018 16:00:00,43.99
12/04/2018 16:00:00,100.39,12/04/2018 16:00:00,67.77,12/04/2018 16:00:00,59.43,12/04/2018 16:00:00,161.62,12/04/2018 16:00:00,44.03
13/04/2018 16:00:00,100.35,13/04/2018 16:00:00,67.25,13/04/2018 16:00:00,59.24,13/04/2018 16:00:00,161.73,13/04/2018 16:00:00,44.51
16/04/2018 16:00:00,100.24,16/04/2018 16:00:00,67.06,16/04/2018 16:00:00,59.43,16/04/2018 16:00:00,161.63,16/04/2018 16:00:00,44.68
17/04/2018 16:00:00,102.17,17/04/2018 16:00:00,67.51,17/04/2018 16:00:00,59.83,17/04/2018 16:00:00,162.55,17/04/2018 16:00:00,44.88
18/04/2018 16:00:00,101.21,18/04/2018 16:00:00,66.2,18/04/2018 16:00:00,59.5,18/04/2018 16:00:00,161.81,18/04/2018 16:00:00,44.51
19/04/2018 16:00:00,100.89,19/04/2018 16:00:00,65.73,19/04/2018 16:00:00,59.22,19/04/2018 16:00:00,159.53,19/04/2018 16:00:00,44.31
20/04/2018 16:00:00,100.24,20/04/2018 16:00:00,66.09,20/04/2018 16:00:00,58,20/04/2018 16:00:00,158.77,20/04/2018 16:00:00,43.74
23/04/2018 16:00:00,100.15,23/04/2018 16:00:00,66.88,23/04/2018 16:00:00,58.16,23/04/2018 16:00:00,158.99,23/04/2018 16:00:00,43.98
24/04/2018 16:00:00,99.46,24/04/2018 16:00:00,66.97,24/04/2018 16:00:00,57.81,24/04/2018 16:00:00,157.32,24/04/2018 16:00:00,43.07
25/04/2018 16:00:00,101.15,25/04/2018 16:00:00,66.67,25/04/2018 16:00:00,57.71,25/04/2018 16:00:00,155.94,25/04/2018 16:00:00,42.43
26/04/2018 16:00:00,99.84,26/04/2018 16:00:00,68.05,26/04/2018 16:00:00,59.38,26/04/2018 16:00:00,158.9,26/04/2018 16:00:00,42.75
27/04/2018 16:00:00,99.23,27/04/2018 16:00:00,69.56,27/04/2018 16:00:00,58.36,27/04/2018 16:00:00,158.3,27/04/2018 16:00:00,43.31
30/04/2018 16:00:00,100.33,30/04/2018 16:00:00,68.39,30/04/2018 16:00:00,57.57,30/04/2018 16:00:00,167.44,30/04/2018 16:00:00,43.21
01/05/2018 16:00:00,100.06,01/05/2018 16:00:00,68.1,01/05/2018 16:00:00,58.13,01/05/2018 16:00:00,163.44,01/05/2018 16:00:00,42.59
02/05/2018 16:00:00,99.62,02/05/2018 16:00:00,68.26,02/05/2018 16:00:00,56.7,02/05/2018 16:00:00,160.68,02/05/2018 16:00:00,42.06
03/05/2018 16:00:00,98.76,03/05/2018 16:00:00,66.9,03/05/2018 16:00:00,56.13,03/05/2018 16:00:00,160.08,03/05/2018 16:00:00,41.89
04/05/2018 16:00:00,101.15,04/05/2018 16:00:00,68.1,04/05/2018 16:00:00,57.68,04/05/2018 16:00:00,165.03,04/05/2018 16:00:00,42.36
07/05/2018 16:00:00,102.48,07/05/2018 16:00:00,69.34,07/05/2018 16:00:00,57.45,07/05/2018 16:00:00,165,07/05/2018 16:00:00,42.14
08/05/2018 16:00:00,101.79,08/05/2018 16:00:00,68.46,08/05/2018 16:00:00,57.67,08/05/2018 16:00:00,164.77,08/05/2018 16:00:00,41.81
09/05/2018 16:00:00,99.97,09/05/2018 16:00:00,67.95,09/05/2018 16:00:00,57.04,09/05/2018 16:00:00,164.24,09/05/2018 16:00:00,41.78
10/05/2018 16:00:00,101.68,10/05/2018 16:00:00,67.92,10/05/2018 16:00:00,57.65,10/05/2018 16:00:00,165.07,10/05/2018 16:00:00,42.18
11/05/2018 16:00:00,102.07,11/05/2018 16:00:00,68.43,11/05/2018 16:00:00,57.27,11/05/2018 16:00:00,165.39,11/05/2018 16:00:00,42.14
14/05/2018 16:00:00,102.44,14/05/2018 16:00:00,68.84,14/05/2018 16:00:00,57.13,14/05/2018 16:00:00,164.72,14/05/2018 16:00:00,42.04
15/05/2018 16:00:00,102.92,15/05/2018 16:00:00,69.5,15/05/2018 16:00:00,56.64,15/05/2018 16:00:00,163.06,15/05/2018 16:00:00,41.72
16/05/2018 16:00:00,105.04,16/05/2018 16:00:00,71.34,16/05/2018 16:00:00,57.15,16/05/2018 16:00:00,162.87,16/05/2018 16:00:00,41.55
17/05/2018 16:00:00,104.34,17/05/2018 16:00:00,70.94,17/05/2018 16:00:00,57.2,17/05/2018 16:00:00,161.31,17/05/2018 16:00:00,42.3
18/05/2018 16:00:00,103.93,18/05/2018 16:00:00,71.32,18/05/2018 16:00:00,57.2,18/05/2018 16:00:00,160.98,18/05/2018 16:00:00,42.3
21/05/2018 16:00:00,104.06,21/05/2018 16:00:00,71.38,21/05/2018 16:00:00,57.34,21/05/2018 16:00:00,161.48,21/05/2018 16:00:00,42.41
22/05/2018 16:00:00,104.07,22/05/2018 16:00:00,71.31,22/05/2018 16:00:00,56.96,22/05/2018 16:00:00,159.45,22/05/2018 16:00:00,42.25
23/05/2018 16:00:00,102.89,23/05/2018 16:00:00,71.34,23/05/2018 16:00:00,57.49,23/05/2018 16:00:00,161.62,23/05/2018 16:00:00,42.4
24/05/2018 16:00:00,102.11,24/05/2018 16:00:00,72.18,24/05/2018 16:00:00,57.68,24/05/2018 16:00:00,162.39,24/05/2018 16:00:00,42.32
25/05/2018 16:00:00,102.2,25/05/2018 16:00:00,72.25,25/05/2018 16:00:00,57.92,25/05/2018 16:00:00,163.21,25/05/2018 16:00:00,42.4
29/05/2018 16:00:00,99.69,29/05/2018 16:00:00,70.92,29/05/2018 16:00:00,57.23,29/05/2018 16:00:00,160.62,29/05/2018 16:00:00,42.68
30/05/2018 16:00:00,99.98,30/05/2018 16:00:00,72.23,30/05/2018 16:00:00,57.48,30/05/2018 16:00:00,161.82,30/05/2018 16:00:00,43.13
31/05/2018 16:00:00,99.47,31/05/2018 16:00:00,71.8,31/05/2018 16:00:00,56.67,31/05/2018 16:00:00,160.01,31/05/2018 16:00:00,43
01/06/2018 16:00:00,99.36,01/06/2018 16:00:00,72.76,01/06/2018 16:00:00,56.91,01/06/2018 16:00:00,159.16,01/06/2018 16:00:00,43.12
04/06/2018 16:00:00,100.24,04/06/2018 16:00:00,73.83,04/06/2018 16:00:00,57.07,04/06/2018 16:00:00,160.22,04/06/2018 16:00:00,43.49
05/06/2018 16:00:00,99.94,05/06/2018 16:00:00,74.05,05/06/2018 16:00:00,55.68,05/06/2018 16:00:00,159.48,05/06/2018 16:00:00,43.11
06/06/2018 16:00:00,101.91,06/06/2018 16:00:00,74.75,06/06/2018 16:00:00,57.17,06/06/2018 16:00:00,162.38,06/06/2018 16:00:00,43.46
07/06/2018 16:00:00,102.47,07/06/2018 16:00:00,74.76,07/06/2018 16:00:00,57.14,07/06/2018 16:00:00,169.48,07/06/2018 16:00:00,43.44
08/06/2018 16:00:00,103.98,08/06/2018 16:00:00,74.9,08/06/2018 16:00:00,56.6,08/06/2018 16:00:00,168.91,08/06/2018 16:00:00,43.95
11/06/2018 16:00:00,104.35,11/06/2018 16:00:00,74.59,11/06/2018 16:00:00,56.48,11/06/2018 16:00:00,166.49,11/06/2018 16:00:00,44.13
12/06/2018 16:00:00,104.33,12/06/2018 16:00:00,74.29,12/06/2018 16:00:00,56.48,12/06/2018 16:00:00,166.73,12/06/2018 16:00:00,44.41
13/06/2018 16:00:00,106.31,13/06/2018 16:00:00,74.11,13/06/2018 16:00:00,56.21,13/06/2018 16:00:00,166.58,13/06/2018 16:00:00,44.18
14/06/2018 16:00:00,108.75,14/06/2018 16:00:00,74.7,14/06/2018 16:00:00,57.02,14/06/2018 16:00:00,167.05,14/06/2018 16:00:00,43.58
15/06/2018 16:00:00,108.85,15/06/2018 16:00:00,75.84,15/06/2018 16:00:00,57.11,15/06/2018 16:00:00,166.46,15/06/2018 16:00:00,44.12
18/06/2018 16:00:00,107.06,18/06/2018 16:00:00,75.61,18/06/2018 16:00:00,57.22,18/06/2018 16:00:00,166.28,18/06/2018 16:00:00,43.55
19/06/2018 16:00:00,106.1,19/06/2018 16:00:00,74.26,19/06/2018 16:00:00,57.43,19/06/2018 16:00:00,164.97,19/06/2018 16:00:00,43.6
20/06/2018 16:00:00,107.15,20/06/2018 16:00:00,74.72,20/06/2018 16:00:00,52.22,20/06/2018 16:00:00,162.56,20/06/2018 16:00:00,43.26
21/06/2018 16:00:00,105.89,21/06/2018 16:00:00,73.94,21/06/2018 16:00:00,50.62,21/06/2018 16:00:00,160.53,21/06/2018 16:00:00,43.09
22/06/2018 16:00:00,106.34,22/06/2018 16:00:00,73.43,22/06/2018 16:00:00,51.24,22/06/2018 16:00:00,164.55,22/06/2018 16:00:00,43.25
25/06/2018 16:00:00,104.45,25/06/2018 16:00:00,72.35,25/06/2018 16:00:00,50.66,25/06/2018 16:00:00,159.81,25/06/2018 16:00:00,43.58
26/06/2018 16:00:00,104.26,26/06/2018 16:00:00,72.56,26/06/2018 16:00:00,50.38,26/06/2018 16:00:00,160.91,26/06/2018 16:00:00,43.33
27/06/2018 16:00:00,103.96,27/06/2018 16:00:00,71.35,27/06/2018 16:00:00,49.84,27/06/2018 16:00:00,157.42,27/06/2018 16:00:00,43.07
28/06/2018 16:00:00,104.77,28/06/2018 16:00:00,71.7,28/06/2018 16:00:00,48.54,28/06/2018 16:00:00,156.32,28/06/2018 16:00:00,43.47
29/06/2018 16:00:00,104.81,29/06/2018 16:00:00,79.68,29/06/2018 16:00:00,48.85,29/06/2018 16:00:00,156.69,29/06/2018 16:00:00,43.86
02/07/2018 16:00:00,105.33,02/07/2018 16:00:00,78.35,02/07/2018 16:00:00,49.06,02/07/2018 16:00:00,156.87,02/07/2018 16:00:00,43.75
03/07/2018 13:00:00,104.04,03/07/2018 13:00:00,76.28,03/07/2018 13:00:00,48.77,03/07/2018 13:00:00,156.48,03/07/2018 13:00:00,43.99
05/07/2018 16:00:00,105.34,05/07/2018 16:00:00,76.55,05/07/2018 16:00:00,48.61,05/07/2018 16:00:00,157.32,05/07/2018 16:00:00,44.66
06/07/2018 16:00:00,104.78,06/07/2018 16:00:00,76.48,06/07/2018 16:00:00,48.98,06/07/2018 16:00:00,159.42,06/07/2018 16:00:00,44.64
09/07/2018 16:00:00,106.02,09/07/2018 16:00:00,77.28,09/07/2018 16:00:00,49.9,09/07/2018 16:00:00,159.94,09/07/2018 16:00:00,44.4
10/07/2018 16:00:00,106.03,10/07/2018 16:00:00,77.57,10/07/2018 16:00:00,50.42,10/07/2018 16:00:00,160.62,10/07/2018 16:00:00,44.97
11/07/2018 16:00:00,108.04,11/07/2018 16:00:00,77.36,11/07/2018 16:00:00,50.14,11/07/2018 16:00:00,158.62,11/07/2018 16:00:00,44.79
12/07/2018 16:00:00,108.25,12/07/2018 16:00:00,77.37,12/07/2018 16:00:00,50.25,12/07/2018 16:00:00,159.12,12/07/2018 16:00:00,44.67
13/07/2018 16:00:00,110,13/07/2018 16:00:00,77.38,13/07/2018 16:00:00,51.62,13/07/2018 16:00:00,158.51,13/07/2018 16:00:00,44.74
16/07/2018 16:00:00,110.2,16/07/2018 16:00:00,77.75,16/07/2018 16:00:00,50.94,16/07/2018 16:00:00,158.78,16/07/2018 16:00:00,44.73
17/07/2018 16:00:00,110.3,17/07/2018 16:00:00,77.47,17/07/2018 16:00:00,51.28,17/07/2018 16:00:00,159.75,17/07/2018 16:00:00,45.25
18/07/2018 16:00:00,110.69,18/07/2018 16:00:00,76.59,18/07/2018 16:00:00,51.15,18/07/2018 16:00:00,157.93,18/07/2018 16:00:00,45.12
19/07/2018 16:00:00,112.13,19/07/2018 16:00:00,76.95,19/07/2018 16:00:00,51.34,19/07/2018 16:00:00,157.41,19/07/2018 16:00:00,45.11
20/07/2018 16:00:00,111.48,20/07/2018 16:00:00,76.96,20/07/2018 16:00:00,50.91,20/07/2018 16:00:00,157.97,20/07/2018 16:00:00,45.28
23/07/2018 16:00:00,111.09,23/07/2018 16:00:00,76.59,23/07/2018 16:00:00,51.19,23/07/2018 16:00:00,158.75,23/07/2018 16:00:00,44.95
24/07/2018 16:00:00,110.7,24/07/2018 16:00:00,75.53,24/07/2018 16:00:00,51.17,24/07/2018 16:00:00,157.94,24/07/2018 16:00:00,45.26
25/07/2018 16:00:00,111.18,25/07/2018 16:00:00,77.16,25/07/2018 16:00:00,51.62,25/07/2018 16:00:00,158.89,25/07/2018 16:00:00,46.09
26/07/2018 16:00:00,113.51,26/07/2018 16:00:00,78.15,26/07/2018 16:00:00,51.45,26/07/2018 16:00:00,156.14,26/07/2018 16:00:00,46.24
27/07/2018 16:00:00,112.62,27/07/2018 16:00:00,76.89,27/07/2018 16:00:00,52.15,27/07/2018 16:00:00,157.48,27/07/2018 16:00:00,46.21
30/07/2018 16:00:00,112.63,30/07/2018 16:00:00,75.96,30/07/2018 16:00:00,51.9,30/07/2018 16:00:00,158.64,30/07/2018 16:00:00,46.23
31/07/2018 16:00:00,113.56,31/07/2018 16:00:00,76.91,31/07/2018 16:00:00,52.39,31/07/2018 16:00:00,157.54,31/07/2018 16:00:00,46.63
01/08/2018 16:00:00,112.97,01/08/2018 16:00:00,77.54,01/08/2018 16:00:00,51.93,01/08/2018 16:00:00,156.92,01/08/2018 16:00:00,46.39
02/08/2018 16:00:00,112.75,02/08/2018 16:00:00,78.65,02/08/2018 16:00:00,51.68,02/08/2018 16:00:00,155.41,02/08/2018 16:00:00,46.18
03/08/2018 16:00:00,114.09,03/08/2018 16:00:00,78.74,03/08/2018 16:00:00,52.23,03/08/2018 16:00:00,156.21,03/08/2018 16:00:00,46.62
06/08/2018 16:00:00,115.94,06/08/2018 16:00:00,79.51,06/08/2018 16:00:00,52.07,06/08/2018 16:00:00,156.72,06/08/2018 16:00:00,46.65
07/08/2018 16:00:00,116.56,07/08/2018 16:00:00,80.53,07/08/2018 16:00:00,52.07,07/08/2018 16:00:00,156.04,07/08/2018 16:00:00,46.5
08/08/2018 16:00:00,113.98,08/08/2018 16:00:00,80.5,08/08/2018 16:00:00,51.55,08/08/2018 16:00:00,158.92,08/08/2018 16:00:00,46.15
09/08/2018 16:00:00,114.16,09/08/2018 16:00:00,81.26,09/08/2018 16:00:00,51.92,09/08/2018 16:00:00,159.3,09/08/2018 16:00:00,46.35
10/08/2018 16:00:00,112.68,10/08/2018 16:00:00,80.73,10/08/2018 16:00:00,51.51,10/08/2018 16:00:00,158.68,10/08/2018 16:00:00,46.08
13/08/2018 16:00:00,112.12,13/08/2018 16:00:00,80.15,13/08/2018 16:00:00,51.81,13/08/2018 16:00:00,158.14,13/08/2018 16:00:00,45.83
14/08/2018 16:00:00,112.75,14/08/2018 16:00:00,80.14,14/08/2018 16:00:00,52.59,14/08/2018 16:00:00,160.6,14/08/2018 16:00:00,45.89
15/08/2018 16:00:00,112.85,15/08/2018 16:00:00,79.57,15/08/2018 16:00:00,52.75,15/08/2018 16:00:00,159.88,15/08/2018 16:00:00,46.08
16/08/2018 16:00:00,112.48,16/08/2018 16:00:00,80.05,16/08/2018 16:00:00,53.04,16/08/2018 16:00:00,161.73,16/08/2018 16:00:00,46.22
17/08/2018 16:00:00,112.48,17/08/2018 16:00:00,79.75,17/08/2018 16:00:00,53.56,17/08/2018 16:00:00,161.15,17/08/2018 16:00:00,46.6
20/08/2018 16:00:00,111.99,20/08/2018 16:00:00,82.18,20/08/2018 16:00:00,53.92,20/08/2018 16:00:00,161.68,20/08/2018 16:00:00,46.73
21/08/2018 16:00:00,112.39,21/08/2018 16:00:00,82.95,21/08/2018 16:00:00,54,21/08/2018 16:00:00,161.04,21/08/2018 16:00:00,46.22
22/08/2018 16:00:00,111.94,22/08/2018 16:00:00,82.64,22/08/2018 16:00:00,52.82,22/08/2018 16:00:00,160.55,22/08/2018 16:00:00,45.93
23/08/2018 16:00:00,112,23/08/2018 16:00:00,82.91,23/08/2018 16:00:00,52.66,23/08/2018 16:00:00,159.05,23/08/2018 16:00:00,45.7
24/08/2018 16:00:00,111.93,24/08/2018 16:00:00,82.45,24/08/2018 16:00:00,52.75,24/08/2018 16:00:00,159.38,24/08/2018 16:00:00,45.63
